"filename", "language", "C++", "CMake", "JSON", "HTML", "Markdown", "Dart", "Swift", "YAML", "XML", "Java Properties", "comment", "blank", "total"
"c:\Users\Ivy\Downloads\Fultter\attempt1\ios\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json", "JSON", 0, 0, 122, 0, 0, 0, 0, 0, 0, 0, 0, 1, 123
"c:\Users\Ivy\Downloads\Fultter\attempt1\ios\Runner\Assets.xcassets\LaunchImage.imageset\Contents.json", "JSON", 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 1, 24
"c:\Users\Ivy\Downloads\Fultter\attempt1\ios\Runner\Assets.xcassets\LaunchImage.imageset\README.md", "Markdown", 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 2, 5
"c:\Users\Ivy\Downloads\Fultter\attempt1\ios\Runner\Base.lproj\LaunchScreen.storyboard", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 36, 0, 1, 1, 38
"c:\Users\Ivy\Downloads\Fultter\attempt1\ios\Runner\Base.lproj\Main.storyboard", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 25, 0, 1, 1, 27
"c:\Users\Ivy\Downloads\Fultter\attempt1\ios\Runner\Runner-Bridging-Header.h", "C++", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"c:\Users\Ivy\Downloads\Fultter\attempt1\lib\channels\assessment_channel.dart", "Dart", 0, 0, 0, 0, 0, 675, 0, 0, 0, 0, 12, 42, 729
"c:\Users\Ivy\Downloads\Fultter\attempt1\lib\channels\channel_creation.dart", "Dart", 0, 0, 0, 0, 0, 342, 0, 0, 0, 0, 1, 26, 369
"c:\Users\Ivy\Downloads\Fultter\attempt1\lib\channels\discussion_channel.dart", "Dart", 0, 0, 0, 0, 0, 1240, 0, 0, 0, 0, 50, 87, 1377
"c:\Users\Ivy\Downloads\Fultter\attempt1\lib\channels\resource_channel.dart", "Dart", 0, 0, 0, 0, 0, 2624, 0, 0, 0, 0, 83, 162, 2869
"c:\Users\Ivy\Downloads\Fultter\attempt1\lib\firebase_options.dart", "Dart", 0, 0, 0, 0, 0, 70, 0, 0, 0, 0, 12, 7, 89
"c:\Users\Ivy\Downloads\Fultter\attempt1\lib\generators\assessment_generator.dart", "Dart", 0, 0, 0, 0, 0, 706, 0, 0, 0, 0, 60, 105, 871
"c:\Users\Ivy\Downloads\Fultter\attempt1\lib\generators\dummy_data_generator.dart", "Dart", 0, 0, 0, 0, 0, 235, 0, 0, 0, 0, 34, 34, 303
"c:\Users\Ivy\Downloads\Fultter\attempt1\lib\generators\group_generator.dart", "Dart", 0, 0, 0, 0, 0, 368, 0, 0, 0, 0, 38, 61, 467
"c:\Users\Ivy\Downloads\Fultter\attempt1\lib\generators\social_generator.dart", "Dart", 0, 0, 0, 0, 0, 156, 0, 0, 0, 0, 17, 29, 202
"c:\Users\Ivy\Downloads\Fultter\attempt1\lib\generators\submission_generator.dart", "Dart", 0, 0, 0, 0, 0, 505, 0, 0, 0, 0, 40, 83, 628
"c:\Users\Ivy\Downloads\Fultter\attempt1\lib\generators\tag_generator.dart", "Dart", 0, 0, 0, 0, 0, 77, 0, 0, 0, 0, 11, 19, 107
"c:\Users\Ivy\Downloads\Fultter\attempt1\lib\generators\user_generator.dart", "Dart", 0, 0, 0, 0, 0, 236, 0, 0, 0, 0, 31, 48, 315
"c:\Users\Ivy\Downloads\Fultter\attempt1\lib\main.dart", "Dart", 0, 0, 0, 0, 0, 57, 0, 0, 0, 0, 0, 9, 66
"c:\Users\Ivy\Downloads\Fultter\attempt1\lib\models\assessment.dart", "Dart", 0, 0, 0, 0, 0, 76, 0, 0, 0, 0, 0, 9, 85
"c:\Users\Ivy\Downloads\Fultter\attempt1\lib\models\chat_message.dart", "Dart", 0, 0, 0, 0, 0, 52, 0, 0, 0, 0, 0, 6, 58
"c:\Users\Ivy\Downloads\Fultter\attempt1\lib\models\group_model.dart", "Dart", 0, 0, 0, 0, 0, 186, 0, 0, 0, 0, 0, 26, 212
"c:\Users\Ivy\Downloads\Fultter\attempt1\lib\models\log_level.dart", "Dart", 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 3, 12
"c:\Users\Ivy\Downloads\Fultter\attempt1\lib\models\question.dart", "Dart", 0, 0, 0, 0, 0, 65, 0, 0, 0, 0, 0, 8, 73
"c:\Users\Ivy\Downloads\Fultter\attempt1\lib\models\static_data.dart", "Dart", 0, 0, 0, 0, 0, 265, 0, 0, 0, 0, 0, 16, 281
"c:\Users\Ivy\Downloads\Fultter\attempt1\lib\models\user_model.dart", "Dart", 0, 0, 0, 0, 0, 68, 0, 0, 0, 0, 0, 11, 79
"c:\Users\Ivy\Downloads\Fultter\attempt1\lib\screens\ai_assistant_page.dart", "Dart", 0, 0, 0, 0, 0, 3483, 0, 0, 0, 0, 0, 260, 3743
"c:\Users\Ivy\Downloads\Fultter\attempt1\lib\screens\ai_learning_page.dart", "Dart", 0, 0, 0, 0, 0, 2470, 0, 0, 0, 0, 0, 127, 2597
"c:\Users\Ivy\Downloads\Fultter\attempt1\lib\screens\assessment_conditions_page.dart", "Dart", 0, 0, 0, 0, 0, 1382, 0, 0, 0, 0, 66, 99, 1547
"c:\Users\Ivy\Downloads\Fultter\attempt1\lib\screens\assessment_detail_page.dart", "Dart", 0, 0, 0, 0, 0, 1344, 0, 0, 0, 0, 88, 114, 1546
"c:\Users\Ivy\Downloads\Fultter\attempt1\lib\screens\assessment_page.dart", "Dart", 0, 0, 0, 0, 0, 2524, 0, 0, 0, 0, 0, 224, 2748
"c:\Users\Ivy\Downloads\Fultter\attempt1\lib\screens\assessment_view.dart", "Dart", 0, 0, 0, 0, 0, 541, 0, 0, 0, 0, 28, 32, 601
"c:\Users\Ivy\Downloads\Fultter\attempt1\lib\screens\assistant_page.dart", "Dart", 0, 0, 0, 0, 0, 686, 0, 0, 0, 0, 71, 104, 861
"c:\Users\Ivy\Downloads\Fultter\attempt1\lib\screens\auth_wrapper.dart", "Dart", 0, 0, 0, 0, 0, 35, 0, 0, 0, 0, 11, 6, 52
"c:\Users\Ivy\Downloads\Fultter\attempt1\lib\screens\chat_input.dart", "Dart", 0, 0, 0, 0, 0, 99, 0, 0, 0, 0, 0, 6, 105
"c:\Users\Ivy\Downloads\Fultter\attempt1\lib\screens\chat_message_bubble.dart", "Dart", 0, 0, 0, 0, 0, 94, 0, 0, 0, 0, 0, 6, 100
"c:\Users\Ivy\Downloads\Fultter\attempt1\lib\screens\chat_page.dart", "Dart", 0, 0, 0, 0, 0, 844, 0, 0, 0, 0, 0, 71, 915
"c:\Users\Ivy\Downloads\Fultter\attempt1\lib\screens\create_assessment_page.dart", "Dart", 0, 0, 0, 0, 0, 2746, 0, 0, 0, 0, 137, 202, 3085
"c:\Users\Ivy\Downloads\Fultter\attempt1\lib\screens\create_group_page.dart", "Dart", 0, 0, 0, 0, 0, 487, 0, 0, 0, 0, 32, 47, 566
"c:\Users\Ivy\Downloads\Fultter\attempt1\lib\screens\custom_app_bar.dart", "Dart", 0, 0, 0, 0, 0, 117, 0, 0, 0, 0, 14, 15, 146
"c:\Users\Ivy\Downloads\Fultter\attempt1\lib\screens\dashboard.dart", "Dart", 0, 0, 0, 0, 0, 864, 0, 0, 0, 0, 0, 41, 905
"c:\Users\Ivy\Downloads\Fultter\attempt1\lib\screens\dummy_data_generator.dart", "Dart", 0, 0, 0, 0, 0, 2555, 0, 0, 0, 0, 266, 387, 3208
"c:\Users\Ivy\Downloads\Fultter\attempt1\lib\screens\find_friends_page.dart", "Dart", 0, 0, 0, 0, 0, 1086, 0, 0, 0, 0, 111, 108, 1305
"c:\Users\Ivy\Downloads\Fultter\attempt1\lib\screens\friends_groups_page.dart", "Dart", 0, 0, 0, 0, 0, 1623, 0, 0, 0, 0, 0, 117, 1740
"c:\Users\Ivy\Downloads\Fultter\attempt1\lib\screens\group_channels.dart", "Dart", 0, 0, 0, 0, 0, 633, 0, 0, 0, 0, 12, 43, 688
"c:\Users\Ivy\Downloads\Fultter\attempt1\lib\screens\group_members.dart", "Dart", 0, 0, 0, 0, 0, 1317, 0, 0, 0, 0, 26, 69, 1412
"c:\Users\Ivy\Downloads\Fultter\attempt1\lib\screens\group_page.dart", "Dart", 0, 0, 0, 0, 0, 582, 0, 0, 0, 0, 27, 29, 638
"c:\Users\Ivy\Downloads\Fultter\attempt1\lib\screens\home_screen.dart", "Dart", 0, 0, 0, 0, 0, 1081, 0, 0, 0, 0, 0, 81, 1162
"c:\Users\Ivy\Downloads\Fultter\attempt1\lib\screens\instruction_item.dart", "Dart", 0, 0, 0, 0, 0, 55, 0, 0, 0, 0, 0, 4, 59
"c:\Users\Ivy\Downloads\Fultter\attempt1\lib\screens\join_group_page.dart", "Dart", 0, 0, 0, 0, 0, 782, 0, 0, 0, 0, 0, 75, 857
"c:\Users\Ivy\Downloads\Fultter\attempt1\lib\screens\journal_page.dart", "Dart", 0, 0, 0, 0, 0, 556, 0, 0, 0, 0, 0, 15, 571
"c:\Users\Ivy\Downloads\Fultter\attempt1\lib\screens\login_page.dart", "Dart", 0, 0, 0, 0, 0, 695, 0, 0, 0, 0, 0, 58, 753
"c:\Users\Ivy\Downloads\Fultter\attempt1\lib\screens\onboarding_screen.dart", "Dart", 0, 0, 0, 0, 0, 210, 0, 0, 0, 0, 0, 7, 217
"c:\Users\Ivy\Downloads\Fultter\attempt1\lib\screens\pdf_options_dialog.dart", "Dart", 0, 0, 0, 0, 0, 821, 0, 0, 0, 0, 0, 15, 836
"c:\Users\Ivy\Downloads\Fultter\attempt1\lib\screens\pdf_viewer_screen.dart", "Dart", 0, 0, 0, 0, 0, 152, 0, 0, 0, 0, 7, 14, 173
"c:\Users\Ivy\Downloads\Fultter\attempt1\lib\screens\profile_setup_page.dart", "Dart", 0, 0, 0, 0, 0, 1340, 0, 0, 0, 0, 67, 95, 1502
"c:\Users\Ivy\Downloads\Fultter\attempt1\lib\screens\quiz_page.dart", "Dart", 0, 0, 0, 0, 0, 1703, 0, 0, 0, 0, 0, 103, 1806
"c:\Users\Ivy\Downloads\Fultter\attempt1\lib\screens\realtime_chat_message.dart", "Dart", 0, 0, 0, 0, 0, 65, 0, 0, 0, 0, 7, 9, 81
"c:\Users\Ivy\Downloads\Fultter\attempt1\lib\screens\realtime_chat_service.dart", "Dart", 0, 0, 0, 0, 0, 294, 0, 0, 0, 0, 40, 57, 391
"c:\Users\Ivy\Downloads\Fultter\attempt1\lib\screens\signup_page.dart", "Dart", 0, 0, 0, 0, 0, 690, 0, 0, 0, 0, 46, 65, 801
"c:\Users\Ivy\Downloads\Fultter\attempt1\lib\screens\startup_page.dart", "Dart", 0, 0, 0, 0, 0, 182, 0, 0, 0, 0, 16, 20, 218
"c:\Users\Ivy\Downloads\Fultter\attempt1\lib\screens\user_profile_page.dart", "Dart", 0, 0, 0, 0, 0, 1432, 0, 0, 0, 0, 119, 173, 1724
"c:\Users\Ivy\Downloads\Fultter\attempt1\lib\screens\welcome_screen.dart", "Dart", 0, 0, 0, 0, 0, 422, 0, 0, 0, 0, 0, 16, 438
"c:\Users\Ivy\Downloads\Fultter\attempt1\lib\services\api_service.dart", "Dart", 0, 0, 0, 0, 0, 561, 0, 0, 0, 0, 84, 119, 764
"c:\Users\Ivy\Downloads\Fultter\attempt1\lib\services\batch_manager.dart", "Dart", 0, 0, 0, 0, 0, 98, 0, 0, 0, 0, 0, 18, 116
"c:\Users\Ivy\Downloads\Fultter\attempt1\lib\services\pdf_service.dart", "Dart", 0, 0, 0, 0, 0, 80, 0, 0, 0, 0, 0, 20, 100
"c:\Users\Ivy\Downloads\Fultter\attempt1\lib\services\storage_service.dart", "Dart", 0, 0, 0, 0, 0, 203, 0, 0, 0, 0, 0, 29, 232
"c:\Users\Ivy\Downloads\Fultter\attempt1\lib\utils\constants.dart", "Dart", 0, 0, 0, 0, 0, 49, 0, 0, 0, 0, 0, 9, 58
"c:\Users\Ivy\Downloads\Fultter\attempt1\lib\utils\file_utils.dart", "Dart", 0, 0, 0, 0, 0, 42, 0, 0, 0, 0, 0, 9, 51
"c:\Users\Ivy\Downloads\Fultter\attempt1\lib\utils\logging_utils.dart", "Dart", 0, 0, 0, 0, 0, 53, 0, 0, 0, 0, 0, 17, 70
"c:\Users\Ivy\Downloads\Fultter\attempt1\lib\utils\text_formatter.dart", "Dart", 0, 0, 0, 0, 0, 181, 0, 0, 0, 0, 0, 25, 206
"c:\Users\Ivy\Downloads\Fultter\attempt1\lib\widgets\social_button.dart", "Dart", 0, 0, 0, 0, 0, 50, 0, 0, 0, 0, 0, 4, 54
"c:\Users\Ivy\Downloads\Fultter\attempt1\linux\CMakeLists.txt", "CMake", 0, 104, 0, 0, 0, 0, 0, 0, 0, 0, 0, 25, 129
"c:\Users\Ivy\Downloads\Fultter\attempt1\linux\flutter\CMakeLists.txt", "CMake", 0, 79, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 89
"c:\Users\Ivy\Downloads\Fultter\attempt1\linux\flutter\generated_plugin_registrant.cc", "C++", 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 5, 24
"c:\Users\Ivy\Downloads\Fultter\attempt1\linux\flutter\generated_plugin_registrant.h", "C++", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 6, 16
"c:\Users\Ivy\Downloads\Fultter\attempt1\linux\flutter\generated_plugins.cmake", "CMake", 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 27
"c:\Users\Ivy\Downloads\Fultter\attempt1\linux\runner\CMakeLists.txt", "CMake", 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 27
"c:\Users\Ivy\Downloads\Fultter\attempt1\linux\runner\main.cc", "C++", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7
"c:\Users\Ivy\Downloads\Fultter\attempt1\linux\runner\my_application.cc", "C++", 83, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 27, 131
"c:\Users\Ivy\Downloads\Fultter\attempt1\linux\runner\my_application.h", "C++", 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 5, 19
"c:\Users\Ivy\Downloads\Fultter\attempt1\macos\Flutter\GeneratedPluginRegistrant.swift", "Swift", 0, 0, 0, 0, 0, 0, 32, 0, 0, 0, 3, 4, 39
"c:\Users\Ivy\Downloads\Fultter\attempt1\macos\RunnerTests\RunnerTests.swift", "Swift", 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 2, 4, 13
"c:\Users\Ivy\Downloads\Fultter\attempt1\macos\Runner\AppDelegate.swift", "Swift", 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 3, 14
"c:\Users\Ivy\Downloads\Fultter\attempt1\macos\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json", "JSON", 0, 0, 68, 0, 0, 0, 0, 0, 0, 0, 0, 1, 69
"c:\Users\Ivy\Downloads\Fultter\attempt1\macos\Runner\Base.lproj\MainMenu.xib", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 343, 0, 0, 1, 344
"c:\Users\Ivy\Downloads\Fultter\attempt1\macos\Runner\MainFlutterWindow.swift", "Swift", 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 4, 16
"c:\Users\Ivy\Downloads\Fultter\attempt1\package-lock.json", "JSON", 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7
"c:\Users\Ivy\Downloads\Fultter\attempt1\package.json", "JSON", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"c:\Users\Ivy\Downloads\Fultter\attempt1\pubspec.yaml", "YAML", 0, 0, 0, 0, 0, 0, 0, 58, 0, 0, 61, 26, 145
"c:\Users\Ivy\Downloads\Fultter\attempt1\test\widget_test.dart", "Dart", 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 10, 7, 31
"c:\Users\Ivy\Downloads\Fultter\attempt1\web\index.html", "HTML", 0, 0, 0, 19, 0, 0, 0, 0, 0, 0, 15, 5, 39
"c:\Users\Ivy\Downloads\Fultter\attempt1\web\manifest.json", "JSON", 0, 0, 35, 0, 0, 0, 0, 0, 0, 0, 0, 1, 36
"c:\Users\Ivy\Downloads\Fultter\attempt1\windows\CMakeLists.txt", "CMake", 0, 89, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 109
"c:\Users\Ivy\Downloads\Fultter\attempt1\windows\flutter\CMakeLists.txt", "CMake", 0, 98, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 110
"c:\Users\Ivy\Downloads\Fultter\attempt1\windows\flutter\generated_plugin_registrant.cc", "C++", 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 5, 36
"c:\Users\Ivy\Downloads\Fultter\attempt1\windows\flutter\generated_plugin_registrant.h", "C++", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 6, 16
"c:\Users\Ivy\Downloads\Fultter\attempt1\windows\flutter\generated_plugins.cmake", "CMake", 0, 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 32
"c:\Users\Ivy\Downloads\Fultter\attempt1\windows\runner\CMakeLists.txt", "CMake", 0, 34, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 41
"c:\Users\Ivy\Downloads\Fultter\attempt1\windows\runner\flutter_window.cpp", "C++", 49, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 16, 72
"c:\Users\Ivy\Downloads\Fultter\attempt1\windows\runner\flutter_window.h", "C++", 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 9, 34
"c:\Users\Ivy\Downloads\Fultter\attempt1\windows\runner\main.cpp", "C++", 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 10, 44
"c:\Users\Ivy\Downloads\Fultter\attempt1\windows\runner\resource.h", "C++", 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 2, 17
"c:\Users\Ivy\Downloads\Fultter\attempt1\windows\runner\utils.cpp", "C++", 54, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 10, 66
"c:\Users\Ivy\Downloads\Fultter\attempt1\windows\runner\utils.h", "C++", 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 6, 20
"c:\Users\Ivy\Downloads\Fultter\attempt1\windows\runner\win32_window.cpp", "C++", 210, 0, 0, 0, 0, 0, 0, 0, 0, 0, 24, 55, 289
"c:\Users\Ivy\Downloads\Fultter\attempt1\windows\runner\win32_window.h", "C++", 48, 0, 0, 0, 0, 0, 0, 0, 0, 0, 31, 24, 103
"Total", "-", 576, 472, 325, 19, 25, 45335, 81, 61, 470, 8, 1963, 4334, 53669
